Mouse;;
;LButton;Left mouse button
;RButton;Right mouse button
;MButton;Middle or wheel mouse button
;XButton1;4th mouse button
;XButton2;5th mouse button
;WheelDown;Wheel downward
;WheelUp;Wheel upward
;WheelLeft;Wheel to the left
;WheelRight;Wheel to the right
Keyboard;;
;CapsLock;CapsLock
;Space;Space
;Tab;Tab
;Enter;Enter
;Esc;Escape
;Backspace;Backspace
;ScrollLock;ScrollLock (see CtrlBreak if Ctrl added)
;Del;Delete
;Ins;Insert
;Home;Home
;End;End
;PgUp;PageUp
;PgDn;PageDown
;Up;Up arrow key
;Down;Down arrow key
;Left;Left arrow key
;Right;Right arrow key
Numpad;;
;Numpad0;0
;Numpad1;1
;Numpad2;2
;Numpad3;3
;Numpad4;4
;Numpad5;5
;Numpad6;6
;Numpad7;7
;Numpad8;8
;Numpad9;9
;NumpadDot;.
;NumpadIns;Insert
;NumpadEnd;End
;NumpadDown;Down
;NumpadPgDn;PageDown
;NumpadLeft;Left
;NumpadClear;(empty)
;NumpadRight;Right
;NumpadHome;Home
;NumpadUp;Up
;NumpadPgUp;PageUp
;NumpadDel;Delete
;NumpadDiv;/ (division)
;NumpadMult;* (multiplication)
;NumpadAdd;+ (addition)
;NumpadSub;- (subtraction)
;NumpadEnter;Enter
Function;;
;F1;F1
;F2;F2
;F3;F3
;F4;F4
;F5;F5
;F6;F6
;F7;F7
;F8;F8
;F9;F9
;F10;F10
;F11;F11
;F12;F12
;F13;F13
;F14;F14
;F15;F15
;F16;F16
;F17;F17
;F18;F18
;F19;F19
;F20;F20
;F21;F21
;F22;F22
;F23;F23
;F24;F24
Multimedia;;
;Browser_Back;Back
;Browser_Forward;Forward
;Browser_Refresh;Refresh
;Browser_Stop;Stop
;Browser_Search;Search
;Browser_Favorites;Favorites
;Browser_Home;Homepage
;Volume_Mute;Mute the volume
;Volume_Down;Lower the volume
;Volume_Up;Increase the volume
;Media_Next;Next Track
;Media_Prev;Previous Track
;Media_Stop;Stop
;Media_Play_Pause;Play/Pause
;Launch_Mail;Launch default e-mail program
;Launch_Media;Launch default media player
;Launch_App1;Launch My Computer
;Launch_App2;Launch Calculator
Other;;
;AppsKey;Menu
;PrintScreen;PrintScreen
;CtrlBreak;Instead of Pause or ScrollLock in combination with Ctrl
;Pause;Pause (see CtrlBreak if Ctrl added)
;Help;Help
;Sleep;Sleep
